package,spend,installs,subs,gross_after,days,cpa,cpi,sub_rate,roi,cpa_pull,cpi_pull,spend_share,subs_share,cpa_vs_pool,group,period
Usgen,186934.53,979470.0,60267.0,103224.25,19,3.1017726118771467,0.19085273668412508,0.06153021532053049,0.5521946640890798,-3042.5899783498057,-21642.2185261578,0.38001087943583545,0.3733991734871531,0.0539668981579009,Zikzik,2026-05-20~2026-06-07
CoupleLens,170189.41,1148007.0,58767.0,112452.54,18,2.8960030289107834,0.14824771103312087,0.05119045441360549,0.6607493380463566,8866.422472888386,20606.313629105163,0.3459704708636011,0.3641055507710609,-0.15180268480846237,Zikzik,2026-05-20~2026-06-07
Dradra,134794.95,810098.0,42367.0,69325.68000000001,19,3.181602426416787,0.16639338697293415,0.05229861078536177,0.5143047272913415,-5823.832494538567,1035.9048970526446,0.27401864970056344,0.262495275741786,0.13379671269754123,Zikzik,2026-05-20~2026-06-07
Viyo,57442.29,431795.0,23789.0,56606.61,20,2.4146576148640126,0.1330313922115819,0.055093273428362996,0.9854518334836582,-1484.3040971124549,2049.5136577006406,0.26982915056105927,0.2613285584031813,0.07607043027854177,Beyo,2026-03-07~2026-03-26
Vimi,56220.85,425464.0,24090.0,59205.36,20,2.333783727687837,0.13214008705789443,0.05662053663764737,1.0530854656235187,835.555367492285,2546.8589965266497,0.2640915638864803,0.264635124298316,-0.00480345689763384,Beyo,2026-03-07~2026-03-26
CoupleLens,50916.15,366441.0,22189.0,55364.01,20,2.2946572626075983,0.13894774329291756,0.06055272199344506,1.0873565656476383,569.5465957206684,-1129.3811905629418,0.2391732903465283,0.2437521283958212,-0.0439299219778726,Beyo,2026-03-07~2026-03-26
Minimix,48304.64,325468.0,20963.0,52186.73,20,2.3042808758288413,0.14841594258114468,0.06440878980422038,1.0803668136228737,79.20213389949959,-3466.9914636643484,0.2269059952059322,0.2302841889026815,-0.034306308756629544,Beyo,2026-03-07~2026-03-26
Minimix,15226.34,91377.0,6979.0,18260.53,7,2.1817366384868895,0.16663208466025367,0.07637589327730172,1.1992724449867793,253.9547328588348,-1568.0860298333446,0.28893642610738307,0.29287842544798354,-0.029765732573582948,Heyo,2026-03-13~2026-03-19
Viyo,14100.43,95554.0,6097.0,15101.8,7,2.3126832868623914,0.1475650417564937,0.06380685266969462,1.0710169831700167,-647.9926468878127,221.86598177691465,0.26757105455265856,0.2558647026732133,0.10118091580191901,Heyo,2026-03-13~2026-03-19
Vimi,13443.76,96397.0,6159.0,16057.25,7,2.182782919305082,0.13946243140346692,0.06389202983495337,1.1944017149963997,153.1068449019465,1028.5954597325874,0.25511002432924734,0.2584665743421881,-0.02871945175539059,Heyo,2026-03-13~2026-03-19
CoupleLens,9927.36,69140.0,4594.0,12066.1,7,2.160940356987375,0.14358345386172983,0.06644489441712467,1.2154389485220642,240.93106912703175,317.62458832384203,0.18838249501071108,0.19279029753661506,-0.05056201407309757,Heyo,2026-03-13~2026-03-19
CoupleLens,39204.02,244271.0,13025.0,23537.99,18,3.00990556621881,0.16049395957768214,0.05332192523877169,0.6003973572097965,52.50704089138738,-4413.788443633235,0.31067722195238867,0.311252897459794,-0.005577264091606526,Beatmo,2026-03-31~2026-04-17
Vimi,33473.37,259465.0,11326.0,20992.010000000002,18,2.9554449938195306,0.1290091919912127,0.043651359528260075,0.6271256822961059,694.7715042316966,3229.5355311258177,0.26526396020062304,0.2706526154802017,-0.06003783649088579,Beatmo,2026-03-31~2026-04-17
Viyo,29681.24,213009.0,9870.0,17802.71,18,3.0072178318135765,0.1393426568830425,0.04633607030688844,0.5997967066065972,124.47511023606945,376.7604177080849,0.235212745715927,0.23585920137644276,-0.008264998496839926,Beatmo,2026-03-31~2026-04-17
Minimix,23830.28,172675.0,7626.0,12902.83,18,3.124872803566745,0.13800654408571014,0.044163891704068335,0.5414468482955299,-871.7536553591539,807.4924947993333,0.18884607213106128,0.18223528568356154,0.1093899732563286,Beatmo,2026-03-31~2026-04-17
